Relative Time [s],Absolute Time [s],Thermocouple 1 Temp [C],Thermocouple 2 Temp [C],Thermocouple 3 Temp [C],Thermocouple 4 Temp [C],Thermocouple 5 Temp [C],Thermocouple 6 Temp [C],Thermocouple 7 Temp [C],Thermocouple 8 Temp [C],Thermocouple 9 Temp [C]
111.8957293,1720455014,46.55965679,52.06387222,40.21708037,48.54963182,48.89727844,42.51314127,47.4855983,50.75945892,44.11930636
112.0495675,1720455014,46.87012562,52.25508158,40.46253454,48.71282768,49.10198786,42.77332146,47.60596618,50.89398867,44.2073469
112.1920164,1720455015,46.6453444,52.14517767,40.19564437,48.54505565,49.00088827,42.56210934,47.42404184,50.86135876,44.21785
112.3305111,1720455015,46.7149174,52.32851903,40.39542856,48.54743564,48.99920225,42.73539494,47.59983343,50.88854659,44.26647579
112.4710925,1720455015,46.85422498,52.44295541,40.47315386,48.65786789,49.17260455,42.75056135,47.58803951,51.00827536,44.32060646
112.6135449,1720455015,46.81423021,52.3841847,40.3631442,48.69631359,49.11257808,42.74425035,47.5996123,50.96117953,44.19190981
112.7540169,1720455015,46.84913178,52.37681449,40.41732915,48.67107936,49.11580597,42.74726709,47.674281,51.13693713,44.34587315
112.8944929,1720455015,46.87000838,52.45957991,40.40693629,48.75450017,49.23013719,42.82585009,47.62687362,51.07633683,44.35500518
113.0507905,1720455015,46.92287973,52.49287158,40.40892498,48.74947328,49.18198127,42.83237307,47.62907689,51.06094338,44.28627485
113.2051125,1720455016,47.04524093,52.58412654,40.50010188,48.77590143,49.29330513,42.85415653,47.69056588,51.07785785,44.39687428
113.3752632,1720455016,47.16423091,52.61525138,40.51536718,48.89361319,49.3075622,42.89662038,47.865556,51.24071375,44.45537497
113.5443144,1720455016,46.97451181,52.6959418,40.61679782,48.85050355,49.39768419,42.89801302,47.86287472,51.17760166,44.5714294
113.7154546,1720455016,47.02769104,52.66600488,40.54634791,48.92393807,49.302654,42.93888371,47.7749744,51.21348654,44.40829706
113.855927,1720455016,47.08630222,52.67144664,40.6596008,48.97027302,49.44470953,43.01742235,47.86791032,51.28613369,44.45728219
113.9959033,1720455016,47.19698148,52.80175834,40.64650761,49.0640902,49.55317032,43.06152889,48.03864394,51.32771664,44.61350431
114.1383543,1720455017,46.96824298,52.65139571,40.63391292,49.00573254,49.43026091,43.11248368,47.967361,51.34341079,44.55631158
114.2788277,1720455017,47.25648758,52.85856154,40.72064964,49.15626109,49.55974965,43.10398612,47.95256691,51.44161908,44.6346094
114.4192994,1720455017,47.19149928,52.90758456,40.68100724,49.05003349,49.61655296,43.17263731,48.0553132,51.47918644,44.69932405
114.5597742,1720455017,47.25315668,52.872139,40.72093836,49.08428285,49.5929969,43.12174285,48.03602527,51.36997656,44.62447418
114.7012351,1720455017,47.34417854,52.99818304,40.84994371,49.16366826,49.61794952,43.17018418,48.0675592,51.49230576,44.80811733
114.8585246,1720455017,47.20249703,52.95165427,40.80072053,49.09195595,49.55325835,43.1330807,47.95330076,51.4371652,44.66955912
115.0286736,1720455017,47.21441298,52.92455309,40.7854211,49.13072934,49.65161734,43.05950585,48.02984859,51.45581054,44.71548444
115.1687708,1720455018,47.1985149,52.96953817,40.7805789,49.22031149,49.63935884,43.05807605,48.14978281,51.51233567,44.68596133
115.3112214,1720455018,47.3175994,53.08771081,40.85482033,49.13757545,49.63656363,43.20272707,48.1438209,51.61911727,44.66457637
115.4507222,1720455018,47.28800672,52.99561173,40.83530229,49.22070627,49.640205,43.24154703,48.05277555,51.58983765,44.81844483
115.5892174,1720455018,47.47717339,53.15432483,40.88817422,49.33216611,49.80016375,43.32017067,48.25358724,51.75725535,44.9014996
115.7286999,1720455018,47.47383143,53.23207926,40.89617904,49.37240645,49.81533644,43.31092037,48.33430448,51.73115434,44.89656529
115.8697972,1720455018,47.50780099,53.1997018,40.98532867,49.41445824,49.88513798,43.45500362,48.38971778,51.73684583,44.94577922
116.0231297,1720455018,47.49748387,53.22298318,41.05313684,49.58025579,49.97301918,43.44011791,48.37443641,51.80996777,45.024466
116.1764653,1720455019,47.56306335,53.27975443,40.97815423,49.48228891,49.89381247,43.53085094,48.40472773,51.87107126,45.10783604
116.3159471,1720455019,47.64314275,53.30863169,41.07569963,49.52162202,50.02363825,43.44494516,48.47865834,51.96894791,45.02883409
116.4718621,1720455019,47.62975321,53.3079047,40.99451561,49.50757302,49.96851786,43.44330583,48.43522752,51.82350577,45.09967987
116.6113498,1720455019,47.59698336,53.37255122,41.05338738,49.61436773,50.11409551,43.47075931,48.40970689,52.00249153,45.0833821
116.7518189,1720455019,47.83251991,53.5222955,41.27243041,49.71571383,50.16260208,43.67416792,48.5777847,52.09804435,45.21428311
116.8919117,1720455019,47.77448751,53.43272789,41.10093079,49.65279215,50.06291376,43.57649026,48.5841702,52.01448468,45.06712097
117.0344014,1720455019,47.67999321,53.48159144,41.13592226,49.63992041,50.11436419,43.48781229,48.54688976,51.97886763,45.1556786
117.1748335,1720455020,47.77122725,53.51663024,41.1771876,49.66872447,50.16798247,43.57480687,48.63558197,52.08200648,45.18027452
117.3469636,1720455020,47.72456649,53.59444967,41.17050274,49.71761538,50.22159564,43.67244993,48.60747493,52.13307392,45.15956912
117.4884248,1720455020,47.77882573,53.73091004,41.3063888,49.86569766,50.22792156,43.68628983,48.69897293,52.24734424,45.28867078
117.6565967,1720455020,47.83172415,53.6888095,41.37909832,49.77631791,50.31841237,43.5892384,48.7477705,52.25140581,45.30520802
117.7970691,1720455020,47.84458601,53.58926107,41.30432679,49.88576891,50.33869808,43.78196117,48.77575816,52.28631448,45.34413754
117.9513912,1720455020,47.8629545,53.77013025,41.29688908,49.81134277,50.29317782,43.78519561,48.79930964,52.24378116,45.30569881
118.1096721,1720455021,48.00070428,53.74411568,41.36901713,49.92971959,50.3618769,43.81568286,48.74181331,52.35633711,45.30829423
118.2649844,1720455021,48.00939033,53.87795233,41.44181597,49.91988629,50.50186283,43.88924086,48.9061223,52.46144297,45.37293339
118.4315226,1720455021,47.95893433,53.76149483,41.35361006,49.87220642,50.53271635,43.87036704,48.69983959,52.24054652,45.4564367
118.5884941,1720455021,47.93981956,53.80054275,41.35393438,49.84228299,50.38096881,43.8083398,48.87476808,52.34182783,45.30526274
118.7408369,1720455021,48.06888777,53.81339429,41.37440023,49.94680375,50.49786064,43.86776133,48.85197332,52.36663401,45.45338138
118.8951597,1720455021,48.05418722,53.98268807,41.46912609,50.06934306,50.55763714,43.87500581,48.9813807,52.48086963,45.59579385
119.0504706,1720455021,48.01246635,53.87156062,41.52010269,49.99337602,50.54080594,43.94311102,49.09326172,52.60420972,45.61014772
119.2038045,1720455022,48.12582222,54.1636765,41.56930192,50.19436028,50.67516915,44.09218342,49.02428669,52.57955622,45.60235497
119.3591146,1720455022,48.19138977,54.00387765,41.59341325,50.10502803,50.65986161,44.08496232,49.0500653,52.58049009,45.65310354
119.5140696,1720455022,48.23686993,54.1504872,41.62936273,50.08974147,50.70300855,44.01248055,49.04560802,52.56297472,45.5764095
119.6674037,1720455022,48.07701962,54.09683074,41.51729331,50.09214334,50.56035108,43.88226763,49.06111025,52.61313951,45.48892801
119.8365679,1720455022,48.21549971,54.26380853,41.67170868,50.24284024,50.79536718,44.06993138,49.22862377,52.78972612,45.66978792
119.9918749,1720455022,48.34328719,54.38479662,41.67228218,50.34811013,50.80608742,44.17454929,49.28338758,52.87004466,45.82679416
120.1471891,1720455023,48.34895712,54.31436749,41.82061507,50.40386301,50.85550764,44.14283639,49.27257013,52.85609855,45.8625821
120.3301985,1720455023,48.36100385,54.37183431,41.75255206,50.4012267,51.02135874,44.16738864,49.3726693,52.82823497,45.7399559
120.4835293,1720455023,48.31250566,54.32262308,41.70312055,50.43673199,50.96370139,44.24816279,49.27385218,52.79317214,45.72690713
120.655658,1720455023,48.3835132,54.37039876,41.80606587,50.46273739,50.92654433,44.23144909,49.36016552,52.84369419,45.84106281
120.808991,1720455023,48.41704481,54.40222612,41.66806619,50.48561691,51.01730565,44.1916488,49.3645475,52.95349358,45.86764033
120.9791422,1720455023,48.60688305,54.64287449,41.83869643,50.59577565,51.20951408,44.28645302,49.38876795,53.08285153,45.93108309
121.1334641,1720455024,48.46854966,54.59667055,41.9410466,50.57833455,51.09894007,44.3582287,49.518971,53.04921979,46.00072926
121.3036139,1720455024,48.55797779,54.59640753,41.74569805,50.65387205,51.2231625,44.40464997,49.41710891,53.0293595,45.93346492
121.4569237,1720455024,48.51347708,54.65987599,41.88083472,50.4758744,51.09597593,44.37292751,49.50268345,53.15820587,45.94207223
121.6122363,1720455024,48.62090387,54.69194765,41.92568931,50.63120917,51.23410904,44.43536706,49.60348918,53.1891793,46.05830398
121.7635891,1720455024,48.65404925,54.64282651,41.95809965,50.70017755,51.28636334,44.32969391,49.56753144,53.12357277,45.99622399
121.9020839,1720455024,48.52224482,54.6881878,41.98093707,50.62608638,51.13359537,44.42432878,49.53379589,53.1450989,46.14890095
122.0415678,1720455024,48.70296277,54.79439316,42.00250008,50.68495691,51.31309134,44.42182667,49.64034321,53.14418876,46.00019156
122.1840179,1720455025,48.7565239,54.84842319,42.06179032,50.83386308,51.4475062,44.52473519,49.60469986,53.30817978,46.18309067
122.3432877,1720455025,48.67052372,54.89281579,42.09160053,50.90046857,51.42479778,44.60320357,49.74743347,53.23617361,46.1786295
122.4982018,1720455025,48.70031001,54.98301124,42.11450079,50.81788056,51.37064961,44.53927081,49.63340297,53.25506047,46.16728153
122.6406527,1720455025,48.79028985,54.96261231,42.09686745,50.73697568,51.46723168,44.63610345,49.75853857,53.3695467,46.07614968
122.7831023,1720455025,48.79818941,54.94775582,42.11275502,50.84569544,51.54839381,44.61321181,49.75943525,53.42268889,46.18613604
122.9255552,1720455025,48.79088473,54.92945409,42.14310287,50.89366352,51.56432514,44.57506736,49.80721248,53.4460334,46.27137652
123.0812271,1720455026,48.89052418,55.11578007,42.31000103,50.94602157,51.59388967,44.74299417,49.95463077,53.54041852,46.35287103
123.2513762,1720455026,48.90316878,55.07640367,42.24824733,50.93496584,51.62184212,44.85513591,49.85193051,53.51744564,46.41622528
123.4057007,1720455026,48.95276152,55.16517636,42.31625701,51.07402865,51.74461226,44.87225687,49.93489498,53.6393978,46.44939067
123.5457978,1720455026,48.97722557,55.10427796,42.23187687,51.0039588,51.616858,44.76584912,49.98462043,53.50886428,46.37796028
123.6862686,1720455026,49.00314482,55.17531885,42.3010656,50.96939732,51.68466431,44.86140137,49.94303879,53.60091134,46.4942095
123.8390372,1720455026,48.93151854,55.04322175,42.30035334,50.9838012,51.80636742,44.83916857,49.90170399,53.63961054,46.38511663
123.9937582,1720455026,48.9415825,55.10971926,42.36018439,51.08744852,51.71136128,44.81278864,49.95915856,53.47017283,46.45018345
124.1620028,1720455027,48.85594121,54.9951594,42.31133773,51.04049876,51.58800261,44.73526554,49.89524556,53.51967609,46.44856041
124.333143,1720455027,48.86950219,55.08966535,42.38852944,51.02426891,51.69622663,44.78874333,49.90360556,53.43681343,46.42232195
124.4735491,1720455027,48.95499595,55.22027114,42.46151339,51.0460385,51.70919471,44.84595337,49.84707029,53.63554583,46.46724154
124.6258955,1720455027,48.83250027,55.15045168,42.32500859,51.03558663,51.71745873,44.91112001,49.93140808,53.59065864,46.55563052
124.783185,1720455027,48.80470245,55.10094043,42.41647622,50.91355147,51.59976089,44.83385358,49.90272856,53.51115347,46.42528938
124.9523466,1720455027,48.79601048,54.98158581,42.36710802,50.79975934,51.65421156,44.7573949,49.84370945,53.38020488,46.3541294
125.0928175,1720455028,48.79454413,55.13221943,42.4207954,51.00061926,51.81979524,44.96004211,49.90928027,53.57376131,46.4660239
125.2481277,1720455028,48.72066339,55.21521992,42.52110678,50.91241386,51.70638738,44.94937912,50.04626117,53.52735724,46.5001733
125.3878279,1720455028,48.84062724,54.99407951,42.39605708,50.97446055,51.74563371,44.96593619,49.92824378,53.43639936,46.55856728
125.5282977,1720455028,48.83015702,55.18996354,42.44205667,51.07745147,51.78725848,45.08568296,50.02701831,53.5399083,46.52997945
125.6687706,1720455028,48.78345455,55.14457206,42.48024506,51.00826626,51.75237097,45.03681125,49.9659099,53.52870305,46.47346915
125.8092451,1720455028,48.83486658,55.27519343,42.60362935,50.94728119,51.84290438,45.02811538,50.05677502,53.5720759,46.69758904
125.9526839,1720455028,48.63321037,55.06692729,42.50382609,50.83930219,51.61617896,44.86258493,49.94060673,53.49512495,46.41755595
126.1104832,1720455029,48.79096821,55.10458443,42.56723652,50.86036401,51.64602269,45.10278491,49.92466631,53.52741133,46.5561124
126.2648041,1720455029,48.58384653,54.9999889,42.58360403,51.01940302,51.59847829,44.96214506,49.79152116,53.33781845,46.56971318
126.4389124,1720455029,48.54352841,54.96995935,42.61845058,50.74569505,51.6276824,44.94142567,49.81331136,53.33163309,46.4845365
126.6060936,1720455029,48.43653162,54.95812718,42.47078594,50.71307892,51.49340136,44.87944825,49.74975011,53.30042116,46.39004932
126.7623949,1720455029,48.53597966,54.98516644,42.45675213,50.82545484,51.59828039,44.98142744,49.84685003,53.28221746,46.47245107
126.9028683,1720455029,48.57446212,54.89681522,42.58484332,50.82553109,51.53500257,45.04424962,49.84060629,53.35796595,46.45261622
127.0433402,1720455029,48.4762924,54.83571744,42.51640553,50.84593862,51.59034676,44.92293999,49.81114384,53.32384007,46.51313504
127.1838117,1720455030,48.49965779,54.97914313,42.57869071,50.80497989,51.56564094,45.11353615,49.84735333,53.34330284,46.49037777
127.3242841,1720455030,48.61246445,54.94299088,42.65184515,50.86460282,51.67145123,45.14645206,49.82756377,53.35058296,46.6574212
127.4646573,1720455030,48.51516371,54.90615869,42.45899082,50.78594901,51.54684491,45.04278285,49.71206082,53.29637534,46.51880321
127.6061199,1720455030,48.55619679,54.93982565,42.53199364,50.76285588,51.67369049,45.13782999,49.79865636,53.39335739,46.5503939
127.7475889,1720455030,48.42264879,54.86779828,42.63433026,50.76170391,51.5117894,45.03519889,49.59885407,53.22239366,46.51620552
127.8900313,1720455030,48.48669893,54.83393099,42.50643232,50.78346971,51.54932699,45.06249135,49.6373423,53.28263896,46.50228845
128.0305045,1720455030,48.41908047,54.84916846,42.64254752,50.7091902,51.54001915,45.04611837,49.72486576,53.1947369,46.56467021
128.1710069,1720455031,48.43697922,54.93314735,42.67890928,50.75232581,51.56216387,45.15919282,49.64093985,53.25492226,46.62128063
128.3114493,1720455031,48.48163847,54.88627005,42.54515463,50.70442696,51.60763067,45.08912896,49.78736678,53.22601797,46.54315047
128.4510961,1720455031,48.55241882,54.84178278,42.59379188,50.76539978,51.642416,45.06880958,49.73212926,53.24973259,46.44773504
128.5915682,1720455031,48.44269535,54.9093639,42.60135921,50.79299698,51.63572962,44.93841146,49.67644935,53.25949423,46.50166305
128.7320409,1720455031,48.51220557,54.99883946,42.75356351,50.86938779,51.64715123,45.14400901,49.74747984,53.31279516,46.67104338
128.8725846,1720455031,48.50860361,55.02832684,42.67505535,50.7040554,51.68751866,45.13428256,49.76938838,53.36100357,46.70521649
129.0133092,1720455031,48.45510319,54.92059584,42.55299691,50.80245242,51.57348583,45.1549387,49.67507632,53.33537428,46.59146604
129.1518114,1720455032,48.46453292,55.03798716,42.62306882,50.75479682,51.78173606,45.20583902,49.70052548,53.29612743,46.61312566
129.2932644,1720455032,48.48881915,54.90512214,42.63679829,50.75671291,51.61209076,45.09315685,49.71711579,53.34758775,46.62341819
129.4495656,1720455032,48.59414542,54.97559618,42.54742266,50.92570857,51.6565516,45.17882005,49.74876573,53.41542233,46.73047182
129.6058686,1720455032,48.56436606,55.09803403,42.71745341,50.88424757,51.71791303,45.26741559,49.84677072,53.52288174,46.71241551
129.7453508,1720455032,48.49511902,55.06912119,42.67467278,50.88029841,51.66910318,45.11985787,49.73131094,53.4786298,46.55008895
129.8986528,1720455032,48.54552478,55.14474089,42.70510817,50.96062017,51.86254737,45.34228576,50.0003848,53.53360096,46.7548545
130.0377235,1720455032,48.66297316,55.06214628,42.74910888,50.87285472,51.74778113,45.26412964,49.79180594,53.51128243,46.64465801
130.1782329,1720455033,48.60522414,54.96998018,42.68882638,50.84474206,51.73591574,45.14847928,49.80791496,53.4600209,46.60582807
130.3187428,1720455033,48.66923056,55.17187094,42.71681585,50.96391075,51.81150977,45.29531467,49.88067063,53.63236263,46.68101331
130.4592159,1720455033,48.57470873,55.15895505,42.78117188,50.94690225,51.82313946,45.26510128,49.79886888,53.55796144,46.73544049
130.5988226,1720455033,48.71574067,55.30525319,42.81686721,51.06267273,51.82005142,45.45856339,50.00004195,53.60689339,46.70315894
130.7373171,1720455033,48.68776939,55.09741705,42.79239941,50.91114696,51.88501144,45.30144449,49.90844786,53.57270565,46.65614317
130.8768084,1720455033,48.7513439,55.32811208,42.94112538,51.01161433,51.92162672,45.45055044,49.94804467,53.60995881,46.88471718
131.0152929,1720455033,48.61804526,55.23113351,42.79679108,51.019038,51.82445359,45.36833053,49.97488354,53.61129077,46.70735054
131.1518095,1720455034,48.64750931,55.24922692,42.87199732,51.04010912,51.91268733,45.47983831,49.94112503,53.63750704,46.87733002
131.3071198,1720455034,48.62844617,55.11707932,42.78431941,50.85078585,51.7910999,45.31195109,49.78507045,53.55297818,46.72161173
131.4611263,1720455034,48.60505344,55.23641825,42.85953188,51.00787174,51.906165,45.4356972,49.90592987,53.69719141,46.8029245
131.6144583,1720455034,48.72336914,55.2901291,42.88012421,51.01525839,51.94938711,45.3912571,49.98283746,53.64692276,46.86937146
131.7546275,1720455034,48.66562228,55.23284485,42.87748415,51.12923395,51.97381291,45.4524802,50.01293691,53.61885826,46.85723941
131.894119,1720455034,48.75084431,55.19150983,42.87663691,51.03908223,52.02053022,45.32482163,50.12719162,53.64346215,46.8880622
132.0355768,1720455034,48.77268964,55.30370357,42.98639008,51.010599,52.00603953,45.49436562,49.88992544,53.72062918,46.88618704
132.1760063,1720455035,48.69933892,55.23807678,42.87050809,51.01178988,51.92788818,45.48650385,49.99335959,53.57748314,46.79011483
132.3164785,1720455035,48.77028279,55.36271997,42.92180336,51.0738267,52.0838771,45.46296907,50.1096014,53.86007648,46.92041976
132.4569912,1720455035,48.91047721,55.38221869,42.93942868,51.08954143,52.05315208,45.54803459,50.18512823,53.88386933,46.84117924
132.5976663,1720455035,48.86549614,55.45911671,42.94665529,51.11318788,52.14552536,45.57041634,50.15259842,53.83835649,46.950622
